partida_url,data,rated,precisao_brancas,precisao_pretas,modalidade,regras,rating_brancas,resultado_brancas,brancas_username,brancas_@id,rating_pretas,resultado_pretas,pretas_username,pretas_@id,eco_abertura_raw,origem
https://www.chess.com/game/live/143795005824,2025-10-01,True,87.17,96.9,blitz,chess,3052,desistência,blitz_expert23,https://api.chess.com/pub/player/blitz_expert23,3108,win,lpsupi,https://api.chess.com/pub/player/lpsupi,Kings-Indian-Defense-Orthodox-Positional-Defense-8.Be3-Re8-9.Qc2,chess.com
https://www.chess.com/game/live/143795201258,2025-10-01,True,82.17,77.04,blitz,chess,3117,vitória,lpsupi,https://api.chess.com/pub/player/lpsupi,3141,checkmated,liamputnam2008,https://api.chess.com/pub/player/liamputnam2008,London-System...6.c3-cxd4-7.exd4-Nh5-8.Bg5,chess.com
https://www.chess.com/game/live/143861049700,2025-10-03,True,98.19,87.81,blitz,chess,3123,vitória,lpsupi,https://api.chess.com/pub/player/lpsupi,3035,resigned,macho_2006,https://api.chess.com/pub/player/macho_2006,Scandinavian-Defense-2.e5-c5,chess.com
https://www.chess.com/game/live/143861485826,2025-10-03,True,91.94,88.16,blitz,chess,3012,vitória,lunaticx,https://api.chess.com/pub/player/lunaticx,3112,resigned,lpsupi,https://api.chess.com/pub/player/lpsupi,Giuoco-Piano-Game...5.c3-Nf6-6.d3-h6-7.Re1,chess.com
https://www.chess.com/game/live/143861698034,2025-10-03,True,93.56,85.15,blitz,chess,3118,vitória,lpsupi,https://api.chess.com/pub/player/lpsupi,3006,resigned,lunaticx,https://api.chess.com/pub/player/lunaticx,Kings-Pawn-Opening-Kings-Knight-Konstantinopolsky-Variation-3...Nf6-4.d3-Bc5-5.Bg2,chess.com
https://www.chess.com/game/live/143914168350,2025-10-05,True,78.15,84.91,rapid,chess,2527,desistência,wotgenie,https://api.chess.com/pub/player/wotgenie,2642,win,lpsupi,https://api.chess.com/pub/player/lpsupi,Sicilian-Defense-French-Variation...5.Qe2-e5-6.O-O-Be7-7.c3-O-O,chess.com
https://www.chess.com/game/live/143982553746,2025-10-06,True,90.82,92.19,rapid,chess,2637,tripla repetição,gmkrikor,https://api.chess.com/pub/player/gmkrikor,2642,repetition,lpsupi,https://api.chess.com/pub/player/lpsupi,Kings-Indian-Defense-Normal-Variation...5.Nf3-O-O-6.h3-c6-7.Be3,chess.com
https://www.chess.com/game/live/144030425984,2025-10-08,True,90.93,82.88,rapid,chess,2646,vitória,lpsupi,https://api.chess.com/pub/player/lpsupi,2468,checkmated,davidcrafter67,https://api.chess.com/pub/player/davidcrafter67,French-Defense-Exchange-Variation-3...exd5,chess.com
https://www.chess.com/game/live/144056859542,2025-10-08,True,97.36,97.45,rapid,chess,2592,material insuficiente,shaconage,https://api.chess.com/pub/player/shaconage,2645,insufficient,lpsupi,https://api.chess.com/pub/player/lpsupi,French-Defense-Tarrasch-Open-Euwe-Keres-Line...6.dxc5-Bxc5-7.Nb3-Ba7,chess.com
https://www.chess.com/game/live/144060865272,2025-10-08,True,79.33,96.42,rapid,chess,2521,desistência,knightsurfer12,https://api.chess.com/pub/player/knightsurfer12,2650,win,lpsupi,https://api.chess.com/pub/player/lpsupi,Sicilian-Defense-Canal-Main-Line-4.Bxd7-Nxd7-5.O-O,chess.com
